C missed false correct
9.999999999999995004e-03 0.000000000000000000e+00 7.331578947368417865e-01 2.668421052631579360e-01
4.979999999999989990e-02 2.842105263157896355e-01 0.000000000000000000e+00 7.157894736842106420e-01
8.959999999999986031e-02 1.968421052631579293e-01 0.000000000000000000e+00 8.031578947368422927e-01
1.294000000000002093e-01 1.926315789473684037e-01 1.578947368421052596e-03 8.057894736842108330e-01
1.691999999999999338e-01 2.078947368421053266e-01 4.736842105263157354e-03 7.873684210526314953e-01
2.090000000000002134e-01 1.705263157894735815e-01 1.947368421052630624e-02 8.100000000000001643e-01
2.487999999999995770e-01 1.221052631578947445e-01 2.105263157894735407e-02 8.568421052631579604e-01
2.886000000000000232e-01 1.126315789473684575e-01 2.684210526315787548e-02 8.605263157894736947e-01
3.284000000000004693e-01 1.026315789473684348e-01 2.421052631578946013e-02 8.731578947368422439e-01
3.682000000000003603e-01 1.026315789473684903e-01 2.894736842105261401e-02 8.684210526315788714e-01
4.079999999999990301e-01 9.526315789473691065e-02 2.631578947368419172e-02 8.784210526315785472e-01
4.477999999999994207e-01 9.631578947368429899e-02 2.789473684210524648e-02 8.757894736842110062e-01
4.875999999999994228e-01 1.021052631578947822e-01 2.842105263157893025e-02 8.694736842105266206e-01
5.274000000000000909e-01 1.010526315789474494e-01 2.947368421052629431e-02 8.694736842105265096e-01
5.672000000000007036e-01 1.042105263157895312e-01 2.210526315789472160e-02 8.736842105263160629e-01
6.070000000000009832e-01 9.157894736842110694e-02 2.842105263157892678e-02 8.800000000000000044e-01
6.467999999999997085e-01 1.026315789473684764e-01 2.631578947368419519e-02 8.710526315789473006e-01
6.866000000000006542e-01 1.010526315789473939e-01 2.894736842105261401e-02 8.700000000000003286e-01
7.264000000000012669e-01 9.947368421052640852e-02 3.315789473684209454e-02 8.673684210526316773e-01
7.661999999999982158e-01 1.110526315789474028e-01 2.842105263157893025e-02 8.605263157894739168e-01
8.059999999999988285e-01 9.736842105263160407e-02 2.999999999999998501e-02 8.726315789473685358e-01
8.457999999999991081e-01 9.789473684210527049e-02 3.684210526315789130e-02 8.652631578947364011e-01
8.855999999999982775e-01 1.052631578947369473e-01 3.578947368421052377e-02 8.589473684210527926e-01
9.253999999999991122e-01 9.842105263157896466e-02 3.894736842105262636e-02 8.626315789473688600e-01
9.651999999999995028e-01 9.526315789473681350e-02 3.526315789473683654e-02 8.694736842105261765e-01
1.005000000000000115e+00 1.015789473684210881e-01 3.684210526315789824e-02 8.615789473684212219e-01
1.044800000000001061e+00 1.005263157894737136e-01 2.842105263157893372e-02 8.710526315789475227e-01
1.084600000000000675e+00 8.631578947368426236e-02 3.368421052631578178e-02 8.799999999999998934e-01
1.124400000000001176e+00 9.368421052631584200e-02 3.578947368421051684e-02 8.705263157894734816e-01
1.164200000000000568e+00 1.094736842105263619e-01 3.526315789473683654e-02 8.552631578947371693e-01
1.204000000000002846e+00 9.947368421052633913e-02 3.105263157894735254e-02 8.694736842105260655e-01
1.243799999999997130e+00 1.052631578947368640e-01 3.947368421052632054e-02 8.552631578947373914e-01
1.283600000000000296e+00 1.021052631578947961e-01 3.736842105263159242e-02 8.605263157894738058e-01
1.323399999999998355e+00 8.684210526315794265e-02 4.052631578947369501e-02 8.726315789473685358e-01
1.363200000000001300e+00 8.315789473684215283e-02 4.105263157894737530e-02 8.757894736842105621e-01
1.402999999999998915e+00 1.089473684210526816e-01 3.684210526315789824e-02 8.542105263157893091e-01
1.442800000000003191e+00 9.421052631578952230e-02 4.631578947368423377e-02 8.594736842105262786e-01
1.482600000000000362e+00 9.210526315789477336e-02 3.263157894736840731e-02 8.752631578947370761e-01
1.522399999999997311e+00 1.036842105263158231e-01 3.684210526315789824e-02 8.594736842105269448e-01
1.562200000000002031e+00 8.631578947368422072e-02 3.210526315789472007e-02 8.815789473684212396e-01
1.601999999999997870e+00 9.842105263157895079e-02 3.631578947368419713e-02 8.652631578947366231e-01
1.641800000000002813e+00 1.036842105263158648e-01 3.947368421052632054e-02 8.568421052631582935e-01
1.681599999999999318e+00 9.526315789473688289e-02 5.157894736842108530e-02 8.531578947368423371e-01
1.721400000000001373e+00 1.021052631578947406e-01 3.842105263157895301e-02 8.594736842105265007e-01
1.761199999999997656e+00 9.210526315789480112e-02 4.473684210526317900e-02 8.631578947368424570e-01
1.801000000000003265e+00 1.063157894736842662e-01 4.368421052631581841e-02 8.500000000000001998e-01
1.840799999999998438e+00 9.473684210526320260e-02 4.052631578947369501e-02 8.647368421052634702e-01
1.880600000000004268e+00 9.526315789473691065e-02 4.263157894736845088e-02 8.621052631578948189e-01
1.920400000000000107e+00 9.684210526315792378e-02 4.578947368421051184e-02 8.573684210526316685e-01
1.960199999999995280e+00 1.057894736842105582e-01 4.684210526315792794e-02 8.473684210526313265e-01
