train_size mean std
1.000000000000000056e-01 7.100773809523809321e-01 4.872475616831890843e-02
1.180000000000000077e-01 7.259027355623099975e-01 4.171053598537926427e-02
1.360000000000000098e-01 7.345572755417956179e-01 4.109297570722256904e-02
1.540000000000000258e-01 7.505063291139240089e-01 3.685620798857239255e-02
1.720000000000000140e-01 7.534110032362459908e-01 3.736954511841878573e-02
1.900000000000000022e-01 7.605544554455445638e-01 3.500393201111119679e-02
2.080000000000000182e-01 7.708986486486485434e-01 3.181410219143226970e-02
2.260000000000000064e-01 7.763321799307958404e-01 3.042984559880099540e-02
2.440000000000000224e-01 7.821134751773050064e-01 2.723230269265101283e-02
2.620000000000000107e-01 7.854855072463767796e-01 2.744539842997448936e-02
2.800000000000000266e-01 7.872936802973977688e-01 2.707138546002754720e-02
2.980000000000000426e-01 7.919007633587785699e-01 2.413515326687258600e-02
3.160000000000000586e-01 7.958203124999999600e-01 2.666601498125411446e-02
3.340000000000000746e-01 8.006987951807227333e-01 2.667770976646790734e-02
3.519999999999999796e-01 8.032066115702479747e-01 2.668110621515061565e-02
3.699999999999999956e-01 8.107148936170213149e-01 2.652729096870850428e-02
3.880000000000000115e-01 8.082183406113536694e-01 2.762203800695786637e-02
4.060000000000000275e-01 8.136486486486486092e-01 2.916926664122114488e-02
4.240000000000000435e-01 8.181860465116278514e-01 2.922540661073865995e-02
4.420000000000000595e-01 8.183349282296650262e-01 2.982169488736332447e-02
4.600000000000000755e-01 8.242079207920792738e-01 3.084357064943716795e-02
4.780000000000000915e-01 8.259897435897436413e-01 3.238467669564003282e-02
4.959999999999999964e-01 8.297765957446808782e-01 3.106036668250695965e-02
5.140000000000000124e-01 8.361208791208792901e-01 2.976162389272935666e-02
5.320000000000000284e-01 8.345028571428572128e-01 3.118375087072346868e-02
5.500000000000000444e-01 8.389047619047619309e-01 3.060236159428536898e-02
5.680000000000000604e-01 8.388148148148147909e-01 3.173791469812980992e-02
5.860000000000000764e-01 8.450322580645160953e-01 3.050705723440099229e-02
6.039999999999999813e-01 8.474729729729729710e-01 3.149585465552735136e-02
6.219999999999999973e-01 8.466099290780141340e-01 3.007762537354407781e-02
6.400000000000000133e-01 8.504740740740740490e-01 3.290373705536355636e-02
6.580000000000000293e-01 8.513749999999999929e-01 3.381596562646111553e-02
6.760000000000000453e-01 8.538016528925619353e-01 3.165397145519033978e-02
6.940000000000000613e-01 8.560695652173913039e-01 3.122610511786184581e-02
7.120000000000000773e-01 8.585740740740741561e-01 3.253009053358838637e-02
7.300000000000000933e-01 8.618613861386138497e-01 3.145601740957434944e-02
7.480000000000001092e-01 8.642978723404255437e-01 3.487100980157097074e-02
7.660000000000000142e-01 8.640909090909090207e-01 3.427676609913594963e-02
7.840000000000000302e-01 8.669135802469136731e-01 3.718407028643590240e-02
8.020000000000000462e-01 8.673513513513512185e-01 3.710227114976138996e-02
8.200000000000000622e-01 8.704411764705881627e-01 3.562923015618624928e-02
8.380000000000000782e-01 8.729180327868852896e-01 4.058989909604005658e-02
8.560000000000000941e-01 8.684814814814815209e-01 4.444288577513781646e-02
8.740000000000001101e-01 8.757446808510638281e-01 4.598108139315779108e-02
8.920000000000000151e-01 8.762926829268293805e-01 4.741262667636303441e-02
9.100000000000000311e-01 8.732352941176471095e-01 5.459745738531399106e-02
9.280000000000000471e-01 8.794074074074074154e-01 5.997786514431997090e-02
9.460000000000000631e-01 8.782857142857143362e-01 7.061222392617622079e-02
9.640000000000000790e-01 8.802857142857143380e-01 8.351414398111232928e-02
9.820000000000000950e-01 8.822857142857142287e-01 1.157957385279116819e-01
